category,variable,org_id,tbl_id,table_name,stat_name,geography,time_coverage,needed_dimensions,model_role,access_status,priority,rationale,official_url,analysis_tier
event,business_closure_by_age_sex_region,133.0,DT_13301N_9810,"9.8.11 폐업자 현황 Ⅱ(연령, 성, 지역)[2014~]",국세통계,시도,2014-2024,연령×성×지역,event_proxy,kosis_candidate_metadata_collected,1,폐업은 50대 초반 급성위기 가설의 가장 강한 공개 행정 대체지표,https://kosis.kr/statHtml/statHtml.do?orgId=133&tblId=DT_13301N_9810&conn_path=I2,Tier1_public_core
event,business_closure_by_age_sex_industry,133.0,DT_133N_987,"9.8.10 폐업자 현황Ⅰ(연령, 성, 업태)[2013~]",국세통계,전국/업태,2013-2024,연령×성×업태,event_proxy,kosis_candidate_metadata_collected,2,지역은 약하지만 연령·성별 폐업 충격 확인 가능,https://kosis.kr/statHtml/statHtml.do?orgId=133&tblId=DT_133N_987&conn_path=I2,Tier2_public_supplement
event,business_closure_reason_region_industry,133.0,TX_13301_A169,"9.8.13 폐업자 현황 Ⅳ (폐업사유, 지역, 업태)[2005~]",국세통계,시도,2005-2024,폐업사유×지역×업태,event_proxy,kosis_candidate_metadata_collected,2,지역별 폐업사유 구조 보강,https://kosis.kr/statHtml/statHtml.do?orgId=133&tblId=TX_13301_A169&conn_path=I2,Tier2_public_supplement
event,business_duration_before_closure_region_industry,133.0,TX_13301_A171,"9.8.14 폐업자 현황 Ⅴ (사업존속연수, 지역, 업태)[2005~]",국세통계,시도,2005-2024,사업존속연수×지역×업태,event_proxy,kosis_candidate_metadata_collected,3,영세/단기 사업 실패 누적위험 보강,https://kosis.kr/statHtml/statHtml.do?orgId=133&tblId=TX_13301_A171&conn_path=I2,Tier2_public_supplement
event,business_closure_city_county,133.0,DT_133001N_9816,9.8.16 폐업자 현황 Ⅶ (시·군·구)[2016~],국세통계,시군구,2016-2024,시군구,event_proxy,kosis_candidate_metadata_collected,2,고독사 초과증가 지역의 지역경제 충격 보조지표,https://kosis.kr/statHtml/statHtml.do?orgId=133&tblId=DT_133001N_9816&conn_path=I2,Tier2_public_supplement
event,divorce_related_candidate,101.0,DT_1B85024,연령(5세)/외국인 남편의 국적별 이혼,인구동향조사,표별 확인 필요,1995-2025,외국인 남편의 국적별 / 40 - 44세 50 - 54세 남편의 연령-총계 미 상 15 - 19세 45 - 49세 55 - 59세 15세 미만 20 - 24세 35 - 39세 25 - 29세 30 - 34세 60세이상 미국(미합중국) 기타 ,event_proxy,candidate_needs_metadata_review,2,가족해체/관계단절 사건성 위기의 공개 대체지표,https://kosis.kr/statHtml/statHtml.do?orgId=101&tblId=DT_1B85024&conn_path=I2,Tier4_weak_or_review
event,divorce_related_candidate,101.0,DT_1B85002,이혼부부의 연령별 이혼,인구동향조사,표별 확인 필요,1990-2025,남편의 연령별 아내의 연령별 / 이혼 15세미만 35세 43세 45세 60 - 64세 39세 51세 계 15 - 19세 25 - 29세 41세 30 - 34세 40세 미상 37세 47세 55 - 59세 75세이상 38세 50세 48세 52세 53세,event_proxy,candidate_needs_metadata_review,2,가족해체/관계단절 사건성 위기의 공개 대체지표,https://kosis.kr/statHtml/statHtml.do?orgId=101&tblId=DT_1B85002&conn_path=I2,Tier4_weak_or_review
event,divorce_related_candidate,101.0,DT_1B85019,연령(5세)/이혼종류별 이혼,인구동향조사,표별 확인 필요,1993-2025,성별 연령별 / 협의이혼 계 재판이혼 미상 계 남편 아내 계 50 - 54세 20 - 24세 70 - 74세 15세 미만 35 - 39세 30 - 34세 40 - 44세 55 - 59세 60 - 64세 65 - 69세 75세 이상 ,event_proxy,candidate_needs_metadata_review,2,가족해체/관계단절 사건성 위기의 공개 대체지표,https://kosis.kr/statHtml/statHtml.do?orgId=101&tblId=DT_1B85019&conn_path=I2,Tier4_weak_or_review
event,divorce_related_candidate,101.0,DT_1B85020,연령(5세)/미성년자녀수별 이혼,인구동향조사,표별 확인 필요,1993-2025,성별 연령별 / 2명 3명 이상 미상 이혼건수-계 미성년자녀-없음 1명 아내 남편 계 40 - 44세 15 - 19세 60 - 64세 70 - 74세 25 - 29세 65 - 69세 계 55 - 59세 미상 20 - 24세 35 -,event_proxy,candidate_needs_metadata_review,2,가족해체/관계단절 사건성 위기의 공개 대체지표,https://kosis.kr/statHtml/statHtml.do?orgId=101&tblId=DT_1B85020&conn_path=I2,Tier4_weak_or_review
event,divorce_related_candidate,101.0,DT_1B85009,시도/성/연령별 이혼율,인구동향조사,표별 확인 필요,1990-2025,시도별 연령별 / 남편(해당연령 천명당 건) 아내(해당연령 천명당 건) 대구광역시 경기도 전라남도 경상북도 서울특별시 인천광역시 울산광역시 강원특별자치도 충청북도 충청남도 경상남도 대전광역시 제주특별자치도 세종특별자치시 광주광역시 전,event_proxy,candidate_needs_metadata_review,2,가족해체/관계단절 사건성 위기의 공개 대체지표,https://kosis.kr/statHtml/statHtml.do?orgId=101&tblId=DT_1B85009&conn_path=I2,Tier4_weak_or_review
event,divorce_related_candidate,101.0,DT_1B85003,시도/연령(각세)별 이혼,인구동향조사,표별 확인 필요,1990-2025,시도별 연령별 / 남편 아내 대전광역시 충청북도 충청남도 서울특별시 대구광역시 광주광역시 울산광역시 전북특별자치도 강원특별자치도 전라남도 경상남도 제주특별자치도 경상북도 부산광역시 인천광역시 세종특별자치시 국외 경기도 전국 61세 6,event_proxy,candidate_needs_metadata_review,2,가족해체/관계단절 사건성 위기의 공개 대체지표,https://kosis.kr/statHtml/statHtml.do?orgId=101&tblId=DT_1B85003&conn_path=I2,Tier4_weak_or_review
event,divorce_related_candidate,101.0,DT_1B83A13,시도/이혼후 재혼연령별 혼인,인구동향조사,표별 확인 필요,1993-2025,시도별 연령별 / 남편 아내 부산광역시 대구광역시 경상남도 경기도 강원특별자치도 광주광역시 전국 세종특별자치시 충청남도 전라남도 경상북도 서울특별시 전북특별자치도 국외 대전광역시 울산광역시 충청북도 인천광역시 제주특별자치도 75세 이,event_proxy,candidate_needs_metadata_review,2,가족해체/관계단절 사건성 위기의 공개 대체지표,https://kosis.kr/statHtml/statHtml.do?orgId=101&tblId=DT_1B83A13&conn_path=I2,Tier4_weak_or_review
event,divorce_related_candidate,101.0,DT_1B85008,연령(5세)/ 혼인지속기간(동거기간)별 이혼,인구동향조사,표별 확인 필요,1990-2025,동거기간별 연령별 / 아내 남편 1년 20년 이상 미상 4년 10∼14년 3년 5년 7년 15∼19년 1년 미만 2년 계 8년 6년 9년 20∼24년 30년 이상 25∼29년 35 - 39세 45 - 49세 미상 25 - 29세 55 -,event_proxy,candidate_needs_metadata_review,2,가족해체/관계단절 사건성 위기의 공개 대체지표,https://kosis.kr/statHtml/statHtml.do?orgId=101&tblId=DT_1B85008&conn_path=I2,Tier4_weak_or_review
event,divorce_related_candidate,101.0,DT_1B85010,연령(5세)/교육정도별 이혼,인구동향조사,표별 확인 필요,1995-2025,교육정도별 연령별 / 아내 남편 대학(교) 대학원 이상 총계 중학교 무학 중고등학교 고등학교 미상 초등학교 대학이상 20 - 24세 45 - 49세 55 - 59세 60 - 64세 미상 75세 이상 15 - 19세 40 - 44세 65 ,event_proxy,candidate_needs_metadata_review,2,가족해체/관계단절 사건성 위기의 공개 대체지표,https://kosis.kr/statHtml/statHtml.do?orgId=101&tblId=DT_1B85010&conn_path=I2,Tier4_weak_or_review
event,divorce_related_candidate,101.0,DT_1B85027,시도/연령(5세)별 이혼,인구동향조사,표별 확인 필요,1990-2025,시도별 남편의 연령별 / 15세미만 25 - 29세 40 - 44세 45 - 49세 70 - 74세 미상 30 - 34세 아내의 연령별: 계 15 - 19세 75세이상 35 - 39세 50 - 54세 55 - 59세 60 - 64세 65 -,event_proxy,candidate_needs_metadata_review,2,가족해체/관계단절 사건성 위기의 공개 대체지표,https://kosis.kr/statHtml/statHtml.do?orgId=101&tblId=DT_1B85027&conn_path=I2,Tier4_weak_or_review
event,divorce_related_candidate,101.0,DT_1B85011,시도/평균 이혼 연령,인구동향조사,표별 확인 필요,1990-2025,시도별 / 아내 남편 서울특별시 대구광역시 광주광역시 세종특별자치시 경기도 제주특별자치도 부산광역시 울산광역시 대전광역시 전북특별자치도 인천광역시 강원특별자치도 충청남도 경상남도 전국 충청북도 전라남도 경상북도 국 외,event_proxy,candidate_needs_metadata_review,2,가족해체/관계단절 사건성 위기의 공개 대체지표,https://kosis.kr/statHtml/statHtml.do?orgId=101&tblId=DT_1B85011&conn_path=I2,Tier4_weak_or_review
event,divorce_related_candidate,154.0,DT_117079_22CC010400,이혼·별거 사유,전국다문화가족실태조사,표별 확인 필요,2021-2021,"특성별 사유별 / 배우자의 교육수준별 300-400만원 미만 여성 50~59세 동부·읍면부별 중국(한국계) 베트남 태국 캄보디아 미주, 유럽, 대양주 기타 200-300만원 미만 결혼이민자 강원 전북 남성 배우자의 연령별 초등학교 졸",event_proxy,candidate_needs_metadata_review,2,가족해체/관계단절 사건성 위기의 공개 대체지표,https://kosis.kr/statHtml/statHtml.do?orgId=154&tblId=DT_117079_22CC010400&conn_path=I2,Tier4_weak_or_review
event,employment_insurance_loss_candidate,434.0,DT_434_STBL_1028670,지역별 고용보험 상실자수,문화체육관광산업통계,제한적/표별 확인,2015-2015,지역별 / 전북 인천 대구 대전 세종 강원 충북 서울 광주 부산 경남 경기 충남 문화체육관광 산업 울산 전남 경북 제주 9월 4월 7월 1월 12월 10월 3월 5월 8월 11월 2월 6월,event_proxy,weak_public_candidate_or_non_panel,3,고용상실 사건 변수 후보이나 현재 검색 표는 문화체육관광산업/단년도 성격이 강해 전국 시도×연도 패널엔 약함,https://kosis.kr/statHtml/statHtml.do?orgId=434&tblId=DT_434_STBL_1028670&conn_path=I2,Tier4_weak_or_review
event,employment_insurance_loss_candidate,434.0,DT_434_STBL_1028672,연령별 고용보험 상실자수,문화체육관광산업통계,제한적/표별 확인,2015-2015,연령별 / 40대 50대 10대 문화체육관광 산업 20대 30대 60대 이상 12월 8월 10월 7월 9월 2월 4월 5월 1월 3월 6월 11월,event_proxy,weak_public_candidate_or_non_panel,3,고용상실 사건 변수 후보이나 현재 검색 표는 문화체육관광산업/단년도 성격이 강해 전국 시도×연도 패널엔 약함,https://kosis.kr/statHtml/statHtml.do?orgId=434&tblId=DT_434_STBL_1028672&conn_path=I2,Tier4_weak_or_review
event,employment_insurance_loss_candidate,434.0,DT_434_STBL_1028671,성별 고용보험 상실자수,문화체육관광산업통계,제한적/표별 확인,2015-2015,성별 / 문화체육관광 산업 여성 남성 10월 12월 11월 5월 1월 4월 7월 3월 6월 8월 9월 2월,event_proxy,weak_public_candidate_or_non_panel,3,고용상실 사건 변수 후보이나 현재 검색 표는 문화체육관광산업/단년도 성격이 강해 전국 시도×연도 패널엔 약함,https://kosis.kr/statHtml/statHtml.do?orgId=434&tblId=DT_434_STBL_1028671&conn_path=I2,Tier4_weak_or_review
event,employment_insurance_loss_candidate,434.0,DT_434_STBL_1028657,"고용보험 피보험자수, 취득자수, 상실자수",문화체육관광산업통계,제한적/표별 확인,2015-2015,월별 / 2월 9월 8월 6월 4월 3월 11월 7월 10월 1월 5월 12월 피보험자수 취득자수 상실자수,event_proxy,weak_public_candidate_or_non_panel,3,고용상실 사건 변수 후보이나 현재 검색 표는 문화체육관광산업/단년도 성격이 강해 전국 시도×연도 패널엔 약함,https://kosis.kr/statHtml/statHtml.do?orgId=434&tblId=DT_434_STBL_1028657&conn_path=I2,Tier4_weak_or_review
event_restricted,employment_insurance_loss_male_45_64_by_region,,,employment_insurance_loss_male_45_64_by_region,근로복지공단/고용행정통계,시도/시군구,월/연도,성×연령×지역×상실사유,event,restricted_or_custom_request_needed,1,50대 초반 급성위기를 직접 검증할 핵심 사건자료,,Tier3_restricted_direct_event
event_restricted,debt_arrears_credit_recovery,,,debt_arrears_credit_recovery,신용회복위원회/한국신용정보원,시도 가능성,연도,연령×성×지역×채무조정/연체,event,restricted_or_custom_request_needed,1,부채·연체 충격은 급성위기 가설의 핵심이지만 공개 집계 제한 가능성 큼,,Tier3_restricted_direct_event
event_restricted,health_insurance_premium_arrears,,,health_insurance_premium_arrears,국민건강보험공단,시도/시군구 가능성,연도,성×연령×지역×체납,event,restricted_or_custom_request_needed,1,소득단절·건강보장 취약의 직접 지표이나 공개 집계 제한 가능성 큼,,Tier3_restricted_direct_event
event_restricted,emergency_self_harm_attempts,,,emergency_self_harm_attempts,중앙응급의료센터/NEDIS 또는 질병관리청 손상감시,시도 가능성,연도,성×연령×지역×자해/자살시도,event_or_outcome_proxy,restricted_or_annual_report_needed,1,자살 사망 이전의 비치명 자해/시도 지표,,Tier3_restricted_direct_event
event_restricted,death_discovery_interval_or_living_alone_duration,,,death_discovery_interval_or_living_alone_duration,보건복지부 고독사 실태조사 원자료/지자체,시도/시군구,연도,성×연령×발견소요일×주거형태,outcome_A_mechanism,restricted_or_report_table_needed,1,고독사를 자살과 구분하는 발견지연 메커니즘의 직접 지표,,Tier3_restricted_direct_event
