dataset,exposure,outcome,AISelect,JobSat,weighted_n,raw_n,row_pct,row_raw_n,AISent,AIAcc,AIComplex,AIAgents
StackOverflow_2025,AISelect,JobSat,"No, but I plan to soon",4.0,36.0,36,0.03171806167400881,1135,,,,
StackOverflow_2025,AISelect,JobSat,"No, but I plan to soon",3.0,33.0,33,0.02907488986784141,1135,,,,
StackOverflow_2025,AISelect,JobSat,"No, but I plan to soon",2.0,25.0,25,0.022026431718061675,1135,,,,
StackOverflow_2025,AISelect,JobSat,"No, but I plan to soon",0.0,16.0,16,0.014096916299559472,1135,,,,
StackOverflow_2025,AISelect,JobSat,"No, but I plan to soon",1.0,6.0,6,0.0052863436123348016,1135,,,,
StackOverflow_2025,AISelect,JobSat,"Yes, I use AI tools daily",8.0,3327.0,3327,0.26406857687118024,12599,,,,
StackOverflow_2025,AISelect,JobSat,"Yes, I use AI tools daily",7.0,2609.0,2609,0.2070799269783316,12599,,,,
StackOverflow_2025,AISelect,JobSat,"Yes, I use AI tools daily",9.0,1743.0,1743,0.1383443130407175,12599,,,,
StackOverflow_2025,AISelect,JobSat,"Yes, I use AI tools daily",10.0,1511.0,1511,0.11993015318676085,12599,,,,
StackOverflow_2025,AISelect,JobSat,"Yes, I use AI tools daily",6.0,1464.0,1464,0.11619969838876101,12599,,,,
StackOverflow_2025,AISelect,JobSat,"Yes, I use AI tools daily",5.0,892.0,892,0.07079926978331613,12599,,,,
StackOverflow_2025,AISelect,JobSat,"Yes, I use AI tools daily",3.0,362.0,362,0.02873243908246686,12599,,,,
StackOverflow_2025,AISelect,JobSat,"Yes, I use AI tools daily",4.0,352.0,352,0.027938725295658384,12599,,,,
StackOverflow_2025,AISelect,JobSat,"Yes, I use AI tools daily",2.0,180.0,180,0.014286848162552584,12599,,,,
StackOverflow_2025,AISelect,JobSat,"Yes, I use AI tools daily",0.0,92.0,92,0.007302166838637987,12599,,,,
StackOverflow_2025,AISelect,JobSat,"Yes, I use AI tools daily",1.0,67.0,67,0.005317882371616795,12599,,,,
StackOverflow_2025,AISelect,JobSat,"Yes, I use AI tools monthly or infrequently",8.0,833.0,833,0.2612923462986198,3188,,,,
StackOverflow_2025,AISelect,JobSat,"Yes, I use AI tools monthly or infrequently",7.0,682.0,682,0.21392722710163112,3188,,,,
StackOverflow_2025,AISelect,JobSat,"Yes, I use AI tools monthly or infrequently",9.0,441.0,441,0.13833124215809284,3188,,,,
StackOverflow_2025,AISelect,JobSat,"Yes, I use AI tools monthly or infrequently",6.0,389.0,389,0.12202007528230865,3188,,,,
StackOverflow_2025,AISelect,JobSat,"Yes, I use AI tools monthly or infrequently",10.0,291.0,291,0.09127979924717691,3188,,,,
StackOverflow_2025,AISelect,JobSat,"Yes, I use AI tools monthly or infrequently",5.0,233.0,233,0.07308657465495609,3188,,,,
StackOverflow_2025,AISelect,JobSat,"Yes, I use AI tools monthly or infrequently",3.0,107.0,107,0.0335633626097867,3188,,,,
StackOverflow_2025,AISelect,JobSat,"Yes, I use AI tools monthly or infrequently",4.0,99.0,99,0.031053952321204517,3188,,,,
StackOverflow_2025,AISelect,JobSat,"Yes, I use AI tools monthly or infrequently",2.0,53.0,53,0.016624843161856962,3188,,,,
StackOverflow_2025,AISelect,JobSat,"Yes, I use AI tools monthly or infrequently",0.0,34.0,34,0.01066499372647428,3188,,,,
StackOverflow_2025,AISelect,JobSat,"Yes, I use AI tools monthly or infrequently",1.0,26.0,26,0.008155583437892095,3188,,,,
StackOverflow_2025,AISelect,JobSat,"Yes, I use AI tools weekly",8.0,1170.0,1170,0.2687801516195727,4353,,,,
StackOverflow_2025,AISelect,JobSat,"Yes, I use AI tools weekly",7.0,960.0,960,0.22053756030323915,4353,,,,
StackOverflow_2025,AISelect,JobSat,"Yes, I use AI tools weekly",6.0,616.0,616,0.14151160119457845,4353,,,,
StackOverflow_2025,AISelect,JobSat,"Yes, I use AI tools weekly",9.0,580.0,580,0.13324144268320698,4353,,,,
StackOverflow_2025,AISelect,JobSat,"Yes, I use AI tools weekly",10.0,359.0,359,0.0824718584883988,4353,,,,
StackOverflow_2025,AISelect,JobSat,"Yes, I use AI tools weekly",5.0,278.0,278,0.063864001837813,4353,,,,
StackOverflow_2025,AISelect,JobSat,"Yes, I use AI tools weekly",4.0,142.0,142,0.03262118079485413,4353,,,,
StackOverflow_2025,AISelect,JobSat,"Yes, I use AI tools weekly",3.0,129.0,129,0.029634734665747762,4353,,,,
StackOverflow_2025,AISelect,JobSat,"Yes, I use AI tools weekly",2.0,68.0,68,0.01562141052147944,4353,,,,
StackOverflow_2025,AISelect,JobSat,"Yes, I use AI tools weekly",1.0,26.0,26,0.005972892258212727,4353,,,,
StackOverflow_2025,AISelect,JobSat,"Yes, I use AI tools weekly",0.0,25.0,25,0.005743165632896853,4353,,,,
StackOverflow_2025,AISent,JobSat,,8.0,2592.0,2592,0.2776944503964003,9334,Favorable,,,
StackOverflow_2025,AISent,JobSat,,7.0,2117.0,2117,0.22680522819798585,9334,Favorable,,,
StackOverflow_2025,AISent,JobSat,,9.0,1302.0,1302,0.13949003642596958,9334,Favorable,,,
StackOverflow_2025,AISent,JobSat,,6.0,1189.0,1189,0.12738375830297835,9334,Favorable,,,
StackOverflow_2025,AISent,JobSat,,10.0,798.0,798,0.08549389329333619,9334,Favorable,,,
StackOverflow_2025,AISent,JobSat,,5.0,599.0,599,0.06417398757231627,9334,Favorable,,,
StackOverflow_2025,AISent,JobSat,,3.0,272.0,272,0.02914077565888151,9334,Favorable,,,
StackOverflow_2025,AISent,JobSat,,4.0,246.0,246,0.026355260338547248,9334,Favorable,,,
StackOverflow_2025,AISent,JobSat,,2.0,135.0,135,0.014463252624812514,9334,Favorable,,,
StackOverflow_2025,AISent,JobSat,,1.0,43.0,43,0.004606813799014356,9334,Favorable,,,
StackOverflow_2025,AISent,JobSat,,0.0,41.0,41,0.004392543389757874,9334,Favorable,,,
StackOverflow_2025,AISent,JobSat,,8.0,1131.0,1131,0.26235212247738343,4311,Indifferent,,,
StackOverflow_2025,AISent,JobSat,,7.0,884.0,884,0.20505683136163302,4311,Indifferent,,,
StackOverflow_2025,AISent,JobSat,,9.0,586.0,586,0.13593133843655764,4311,Indifferent,,,
StackOverflow_2025,AISent,JobSat,,6.0,539.0,539,0.12502899559266992,4311,Indifferent,,,
StackOverflow_2025,AISent,JobSat,,10.0,407.0,407,0.09440964973324055,4311,Indifferent,,,
StackOverflow_2025,AISent,JobSat,,5.0,353.0,353,0.08188355369983763,4311,Indifferent,,,
StackOverflow_2025,AISent,JobSat,,4.0,138.0,138,0.032011134307585246,4311,Indifferent,,,
StackOverflow_2025,AISent,JobSat,,3.0,126.0,126,0.029227557411273485,4311,Indifferent,,,
StackOverflow_2025,AISent,JobSat,,2.0,77.0,77,0.017861285084667132,4311,Indifferent,,,
StackOverflow_2025,AISent,JobSat,,0.0,46.0,46,0.010670378102528416,4311,Indifferent,,,
StackOverflow_2025,AISent,JobSat,,1.0,24.0,24,0.0055671537926235215,4311,Indifferent,,,
StackOverflow_2025,AISent,JobSat,,8.0,699.0,699,0.26497346474601974,2638,Unfavorable,,,
StackOverflow_2025,AISent,JobSat,,7.0,577.0,577,0.21872630780894617,2638,Unfavorable,,,
StackOverflow_2025,AISent,JobSat,,9.0,345.0,345,0.13078089461713419,2638,Unfavorable,,,
StackOverflow_2025,AISent,JobSat,,6.0,328.0,328,0.1243366186504928,2638,Unfavorable,,,
StackOverflow_2025,AISent,JobSat,,10.0,223.0,223,0.08453373768006066,2638,Unfavorable,,,
StackOverflow_2025,AISent,JobSat,,5.0,190.0,190,0.07202426080363912,2638,Unfavorable,,,
StackOverflow_2025,AISent,JobSat,,3.0,95.0,95,0.03601213040181956,2638,Unfavorable,,,
StackOverflow_2025,AISent,JobSat,,4.0,95.0,95,0.03601213040181956,2638,Unfavorable,,,
StackOverflow_2025,AISent,JobSat,,2.0,47.0,47,0.01781652767247915,2638,Unfavorable,,,
StackOverflow_2025,AISent,JobSat,,1.0,25.0,25,0.009476876421531463,2638,Unfavorable,,,
StackOverflow_2025,AISent,JobSat,,0.0,14.0,14,0.00530705079605762,2638,Unfavorable,,,
StackOverflow_2025,AISent,JobSat,,8.0,96.0,96,0.22377622377622378,429,Unsure,,,
StackOverflow_2025,AISent,JobSat,,7.0,91.0,91,0.21212121212121213,429,Unsure,,,
StackOverflow_2025,AISent,JobSat,,10.0,51.0,51,0.11888111888111888,429,Unsure,,,
StackOverflow_2025,AISent,JobSat,,9.0,50.0,50,0.11655011655011654,429,Unsure,,,
StackOverflow_2025,AISent,JobSat,,6.0,45.0,45,0.1048951048951049,429,Unsure,,,
StackOverflow_2025,AISent,JobSat,,5.0,42.0,42,0.0979020979020979,429,Unsure,,,
StackOverflow_2025,AISent,JobSat,,3.0,16.0,16,0.037296037296037296,429,Unsure,,,
StackOverflow_2025,AISent,JobSat,,0.0,15.0,15,0.03496503496503497,429,Unsure,,,
StackOverflow_2025,AISent,JobSat,,4.0,14.0,14,0.03263403263403263,429,Unsure,,,
StackOverflow_2025,AISent,JobSat,,2.0,6.0,6,0.013986013986013986,429,Unsure,,,
StackOverflow_2025,AISent,JobSat,,1.0,3.0,3,0.006993006993006993,429,Unsure,,,
StackOverflow_2025,AISent,JobSat,,8.0,1474.0,1474,0.25313412330413876,5823,Very favorable,,,
StackOverflow_2025,AISent,JobSat,,7.0,1070.0,1070,0.18375407865361498,5823,Very favorable,,,
StackOverflow_2025,AISent,JobSat,,10.0,956.0,956,0.1641765413017345,5823,Very favorable,,,
StackOverflow_2025,AISent,JobSat,,9.0,832.0,832,0.14288167611196978,5823,Very favorable,,,
StackOverflow_2025,AISent,JobSat,,6.0,621.0,621,0.10664605873261206,5823,Very favorable,,,
StackOverflow_2025,AISent,JobSat,,5.0,406.0,406,0.06972351021810064,5823,Very favorable,,,
StackOverflow_2025,AISent,JobSat,,4.0,173.0,173,0.02970977159539756,5823,Very favorable,,,
StackOverflow_2025,AISent,JobSat,,3.0,140.0,140,0.02404258973037953,5823,Very favorable,,,
StackOverflow_2025,AISent,JobSat,,2.0,70.0,70,0.012021294865189765,5823,Very favorable,,,
StackOverflow_2025,AISent,JobSat,,0.0,55.0,55,0.009445303108363386,5823,Very favorable,,,
StackOverflow_2025,AISent,JobSat,,1.0,26.0,26,0.004465052378499056,5823,Very favorable,,,
StackOverflow_2025,AISent,JobSat,,8.0,537.0,537,0.24134831460674158,2225,Very unfavorable,,,
StackOverflow_2025,AISent,JobSat,,7.0,454.0,454,0.20404494382022473,2225,Very unfavorable,,,
StackOverflow_2025,AISent,JobSat,,6.0,269.0,269,0.12089887640449438,2225,Very unfavorable,,,
StackOverflow_2025,AISent,JobSat,,9.0,262.0,262,0.11775280898876404,2225,Very unfavorable,,,
StackOverflow_2025,AISent,JobSat,,10.0,239.0,239,0.10741573033707866,2225,Very unfavorable,,,
StackOverflow_2025,AISent,JobSat,,5.0,155.0,155,0.0696629213483146,2225,Very unfavorable,,,
StackOverflow_2025,AISent,JobSat,,3.0,106.0,106,0.04764044943820225,2225,Very unfavorable,,,
StackOverflow_2025,AISent,JobSat,,4.0,72.0,72,0.032359550561797755,2225,Very unfavorable,,,
StackOverflow_2025,AISent,JobSat,,2.0,64.0,64,0.028764044943820226,2225,Very unfavorable,,,
StackOverflow_2025,AISent,JobSat,,0.0,41.0,41,0.018426966292134833,2225,Very unfavorable,,,
StackOverflow_2025,AISent,JobSat,,1.0,26.0,26,0.011685393258426966,2225,Very unfavorable,,,
StackOverflow_2025,AIAcc,JobSat,,8.0,1222.0,1222,0.2516992790937178,4855,,Highly distrust,,
StackOverflow_2025,AIAcc,JobSat,,7.0,989.0,989,0.20370751802265705,4855,,Highly distrust,,
StackOverflow_2025,AIAcc,JobSat,,9.0,634.0,634,0.1305870236869207,4855,,Highly distrust,,
StackOverflow_2025,AIAcc,JobSat,,6.0,590.0,590,0.121524201853759,4855,,Highly distrust,,
StackOverflow_2025,AIAcc,JobSat,,10.0,527.0,527,0.10854788877445933,4855,,Highly distrust,,
StackOverflow_2025,AIAcc,JobSat,,5.0,335.0,335,0.0690010298661174,4855,,Highly distrust,,
StackOverflow_2025,AIAcc,JobSat,,3.0,172.0,172,0.03542739443872297,4855,,Highly distrust,,
StackOverflow_2025,AIAcc,JobSat,,4.0,149.0,149,0.030690010298661172,4855,,Highly distrust,,
StackOverflow_2025,AIAcc,JobSat,,2.0,116.0,116,0.023892893923789908,4855,,Highly distrust,,
StackOverflow_2025,AIAcc,JobSat,,0.0,75.0,75,0.015447991761071062,4855,,Highly distrust,,
StackOverflow_2025,AIAcc,JobSat,,1.0,46.0,46,0.009474768280123584,4855,,Highly distrust,,
StackOverflow_2025,AIAcc,JobSat,,8.0,139.0,139,0.21221374045801528,655,,Highly trust,,
StackOverflow_2025,AIAcc,JobSat,,10.0,126.0,126,0.19236641221374046,655,,Highly trust,,
StackOverflow_2025,AIAcc,JobSat,,7.0,105.0,105,0.16030534351145037,655,,Highly trust,,
StackOverflow_2025,AIAcc,JobSat,,9.0,104.0,104,0.15877862595419848,655,,Highly trust,,
StackOverflow_2025,AIAcc,JobSat,,5.0,59.0,59,0.0900763358778626,655,,Highly trust,,
StackOverflow_2025,AIAcc,JobSat,,6.0,53.0,53,0.08091603053435115,655,,Highly trust,,
StackOverflow_2025,AIAcc,JobSat,,4.0,27.0,27,0.04122137404580153,655,,Highly trust,,
StackOverflow_2025,AIAcc,JobSat,,3.0,17.0,17,0.025954198473282442,655,,Highly trust,,
StackOverflow_2025,AIAcc,JobSat,,0.0,13.0,13,0.01984732824427481,655,,Highly trust,,
StackOverflow_2025,AIAcc,JobSat,,2.0,8.0,8,0.012213740458015267,655,,Highly trust,,
StackOverflow_2025,AIAcc,JobSat,,1.0,4.0,4,0.0061068702290076335,655,,Highly trust,,
StackOverflow_2025,AIAcc,JobSat,,8.0,1400.0,1400,0.2626148940161321,5331,,Neither trust nor distrust,,
StackOverflow_2025,AIAcc,JobSat,,7.0,1155.0,1155,0.21665728756330896,5331,,Neither trust nor distrust,,
StackOverflow_2025,AIAcc,JobSat,,9.0,709.0,709,0.13299568561245545,5331,,Neither trust nor distrust,,
StackOverflow_2025,AIAcc,JobSat,,6.0,654.0,654,0.12267867191896455,5331,,Neither trust nor distrust,,
StackOverflow_2025,AIAcc,JobSat,,10.0,550.0,550,0.10317013693490902,5331,,Neither trust nor distrust,,
StackOverflow_2025,AIAcc,JobSat,,5.0,424.0,424,0.07953479647345714,5331,,Neither trust nor distrust,,
StackOverflow_2025,AIAcc,JobSat,,4.0,146.0,146,0.027386981804539485,5331,,Neither trust nor distrust,,
StackOverflow_2025,AIAcc,JobSat,,3.0,145.0,145,0.027199399737385107,5331,,Neither trust nor distrust,,
StackOverflow_2025,AIAcc,JobSat,,2.0,70.0,70,0.013130744700806603,5331,,Neither trust nor distrust,,
StackOverflow_2025,AIAcc,JobSat,,0.0,45.0,45,0.008441193021947102,5331,,Neither trust nor distrust,,
StackOverflow_2025,AIAcc,JobSat,,1.0,33.0,33,0.0061902082160945416,5331,,Neither trust nor distrust,,
StackOverflow_2025,AIAcc,JobSat,,8.0,1765.0,1765,0.27124635008452436,6507,,Somewhat distrust,,
StackOverflow_2025,AIAcc,JobSat,,7.0,1394.0,1394,0.21423082833871215,6507,,Somewhat distrust,,
StackOverflow_2025,AIAcc,JobSat,,9.0,865.0,865,0.13293376363915782,6507,,Somewhat distrust,,
StackOverflow_2025,AIAcc,JobSat,,6.0,802.0,802,0.12325188258798217,6507,,Somewhat distrust,,
StackOverflow_2025,AIAcc,JobSat,,10.0,617.0,617,0.09482096204087906,6507,,Somewhat distrust,,
StackOverflow_2025,AIAcc,JobSat,,5.0,432.0,432,0.06639004149377593,6507,,Somewhat distrust,,
StackOverflow_2025,AIAcc,JobSat,,3.0,226.0,226,0.034731827262947594,6507,,Somewhat distrust,,
StackOverflow_2025,AIAcc,JobSat,,4.0,219.0,219,0.033656062701705854,6507,,Somewhat distrust,,
StackOverflow_2025,AIAcc,JobSat,,2.0,116.0,116,0.017826955586291687,6507,,Somewhat distrust,,
StackOverflow_2025,AIAcc,JobSat,,1.0,36.0,36,0.005532503457814661,6507,,Somewhat distrust,,
StackOverflow_2025,AIAcc,JobSat,,0.0,35.0,35,0.005378822806208698,6507,,Somewhat distrust,,
StackOverflow_2025,AIAcc,JobSat,,8.0,1992.0,1992,0.2721683290066949,7319,,Somewhat trust,,
StackOverflow_2025,AIAcc,JobSat,,7.0,1535.0,1535,0.20972810493236782,7319,,Somewhat trust,,
StackOverflow_2025,AIAcc,JobSat,,9.0,1056.0,1056,0.14428200573848887,7319,,Somewhat trust,,
StackOverflow_2025,AIAcc,JobSat,,6.0,876.0,876,0.11968848203306463,7319,,Somewhat trust,,
StackOverflow_2025,AIAcc,JobSat,,10.0,829.0,829,0.11326683973220385,7319,,Somewhat trust,,
StackOverflow_2025,AIAcc,JobSat,,5.0,486.0,486,0.06640251400464545,7319,,Somewhat trust,,
StackOverflow_2025,AIAcc,JobSat,,4.0,193.0,193,0.026369722639704878,7319,,Somewhat trust,,
StackOverflow_2025,AIAcc,JobSat,,3.0,191.0,191,0.026096461265200165,7319,,Somewhat trust,,
StackOverflow_2025,AIAcc,JobSat,,2.0,89.0,89,0.012160131165459762,7319,,Somewhat trust,,
StackOverflow_2025,AIAcc,JobSat,,0.0,42.0,42,0.005738488864598989,7319,,Somewhat trust,,
StackOverflow_2025,AIAcc,JobSat,,1.0,30.0,30,0.004098920617570706,7319,,Somewhat trust,,
StackOverflow_2025,AIComplex,JobSat,,8.0,1468.0,1468,0.2604222103956005,5637,,,Bad at handling complex tasks,
StackOverflow_2025,AIComplex,JobSat,,7.0,1294.0,1294,0.22955472769203478,5637,,,Bad at handling complex tasks,
StackOverflow_2025,AIComplex,JobSat,,6.0,739.0,739,0.13109810182721304,5637,,,Bad at handling complex tasks,
StackOverflow_2025,AIComplex,JobSat,,9.0,725.0,725,0.1286145112648572,5637,,,Bad at handling complex tasks,
StackOverflow_2025,AIComplex,JobSat,,10.0,499.0,499,0.08852226361539826,5637,,,Bad at handling complex tasks,
StackOverflow_2025,AIComplex,JobSat,,5.0,397.0,397,0.07042753237537697,5637,,,Bad at handling complex tasks,
StackOverflow_2025,AIComplex,JobSat,,4.0,182.0,182,0.03228667731062622,5637,,,Bad at handling complex tasks,
StackOverflow_2025,AIComplex,JobSat,,3.0,178.0,178,0.03157708000709597,5637,,,Bad at handling complex tasks,
StackOverflow_2025,AIComplex,JobSat,,2.0,91.0,91,0.01614333865531311,5637,,,Bad at handling complex tasks,
StackOverflow_2025,AIComplex,JobSat,,0.0,32.0,32,0.005676778428241973,5637,,,Bad at handling complex tasks,
StackOverflow_2025,AIComplex,JobSat,,1.0,32.0,32,0.005676778428241973,5637,,,Bad at handling complex tasks,
StackOverflow_2025,AIComplex,JobSat,,8.0,1730.0,1730,0.27934765057322786,6193,,,"Good, but not great at handling complex tasks",
StackOverflow_2025,AIComplex,JobSat,,7.0,1295.0,1295,0.209107056353948,6193,,,"Good, but not great at handling complex tasks",
StackOverflow_2025,AIComplex,JobSat,,9.0,855.0,855,0.13805909898272242,6193,,,"Good, but not great at handling complex tasks",
StackOverflow_2025,AIComplex,JobSat,,6.0,750.0,750,0.12110447279186178,6193,,,"Good, but not great at handling complex tasks",
StackOverflow_2025,AIComplex,JobSat,,10.0,688.0,688,0.11109316970773454,6193,,,"Good, but not great at handling complex tasks",
StackOverflow_2025,AIComplex,JobSat,,5.0,423.0,423,0.06830292265461005,6193,,,"Good, but not great at handling complex tasks",
StackOverflow_2025,AIComplex,JobSat,,4.0,166.0,166,0.02680445664459874,6193,,,"Good, but not great at handling complex tasks",
StackOverflow_2025,AIComplex,JobSat,,3.0,148.0,148,0.02389794929759406,6193,,,"Good, but not great at handling complex tasks",
StackOverflow_2025,AIComplex,JobSat,,2.0,77.0,77,0.012433392539964476,6193,,,"Good, but not great at handling complex tasks",
StackOverflow_2025,AIComplex,JobSat,,0.0,40.0,40,0.006458905215565962,6193,,,"Good, but not great at handling complex tasks",
StackOverflow_2025,AIComplex,JobSat,,1.0,21.0,21,0.00339092523817213,6193,,,"Good, but not great at handling complex tasks",
StackOverflow_2025,AIComplex,JobSat,,8.0,993.0,993,0.2626984126984127,3780,,,I don't use AI tools for complex tasks / I don't know,
StackOverflow_2025,AIComplex,JobSat,,7.0,776.0,776,0.2052910052910053,3780,,,I don't use AI tools for complex tasks / I don't know,
StackOverflow_2025,AIComplex,JobSat,,9.0,538.0,538,0.14232804232804233,3780,,,I don't use AI tools for complex tasks / I don't know,
StackOverflow_2025,AIComplex,JobSat,,6.0,437.0,437,0.1156084656084656,3780,,,I don't use AI tools for complex tasks / I don't know,
StackOverflow_2025,AIComplex,JobSat,,10.0,384.0,384,0.10158730158730159,3780,,,I don't use AI tools for complex tasks / I don't know,
StackOverflow_2025,AIComplex,JobSat,,5.0,265.0,265,0.0701058201058201,3780,,,I don't use AI tools for complex tasks / I don't know,
StackOverflow_2025,AIComplex,JobSat,,3.0,122.0,122,0.032275132275132276,3780,,,I don't use AI tools for complex tasks / I don't know,
StackOverflow_2025,AIComplex,JobSat,,4.0,114.0,114,0.03015873015873016,3780,,,I don't use AI tools for complex tasks / I don't know,
StackOverflow_2025,AIComplex,JobSat,,2.0,87.0,87,0.023015873015873017,3780,,,I don't use AI tools for complex tasks / I don't know,
StackOverflow_2025,AIComplex,JobSat,,0.0,43.0,43,0.011375661375661376,3780,,,I don't use AI tools for complex tasks / I don't know,
StackOverflow_2025,AIComplex,JobSat,,1.0,21.0,21,0.005555555555555556,3780,,,I don't use AI tools for complex tasks / I don't know,
StackOverflow_2025,AIComplex,JobSat,,8.0,919.0,919,0.26212207644038793,3506,,,Neither good or bad at handling complex tasks,
StackOverflow_2025,AIComplex,JobSat,,7.0,717.0,717,0.2045065601825442,3506,,,Neither good or bad at handling complex tasks,
StackOverflow_2025,AIComplex,JobSat,,9.0,499.0,499,0.14232743867655448,3506,,,Neither good or bad at handling complex tasks,
StackOverflow_2025,AIComplex,JobSat,,6.0,436.0,436,0.12435824301197947,3506,,,Neither good or bad at handling complex tasks,
StackOverflow_2025,AIComplex,JobSat,,10.0,377.0,377,0.10752994865944096,3506,,,Neither good or bad at handling complex tasks,
StackOverflow_2025,AIComplex,JobSat,,5.0,273.0,273,0.07786651454649172,3506,,,Neither good or bad at handling complex tasks,
StackOverflow_2025,AIComplex,JobSat,,3.0,103.0,103,0.029378208784940102,3506,,,Neither good or bad at handling complex tasks,
StackOverflow_2025,AIComplex,JobSat,,4.0,89.0,89,0.025385054192812322,3506,,,Neither good or bad at handling complex tasks,
StackOverflow_2025,AIComplex,JobSat,,2.0,47.0,47,0.013405590416428978,3506,,,Neither good or bad at handling complex tasks,
StackOverflow_2025,AIComplex,JobSat,,0.0,26.0,26,0.007415858528237307,3506,,,Neither good or bad at handling complex tasks,
StackOverflow_2025,AIComplex,JobSat,,1.0,20.0,20,0.005704506560182544,3506,,,Neither good or bad at handling complex tasks,
StackOverflow_2025,AIComplex,JobSat,,8.0,1183.0,1183,0.2566160520607375,4610,,,Very poor at handling complex tasks,
StackOverflow_2025,AIComplex,JobSat,,7.0,957.0,957,0.20759219088937092,4610,,,Very poor at handling complex tasks,
StackOverflow_2025,AIComplex,JobSat,,9.0,604.0,604,0.13101952277657267,4610,,,Very poor at handling complex tasks,
StackOverflow_2025,AIComplex,JobSat,,6.0,539.0,539,0.11691973969631236,4610,,,Very poor at handling complex tasks,
StackOverflow_2025,AIComplex,JobSat,,10.0,483.0,483,0.10477223427331887,4610,,,Very poor at handling complex tasks,
StackOverflow_2025,AIComplex,JobSat,,5.0,302.0,302,0.06550976138828633,4610,,,Very poor at handling complex tasks,
StackOverflow_2025,AIComplex,JobSat,,3.0,187.0,187,0.04056399132321041,4610,,,Very poor at handling complex tasks,
StackOverflow_2025,AIComplex,JobSat,,4.0,153.0,153,0.033188720173535795,4610,,,Very poor at handling complex tasks,
StackOverflow_2025,AIComplex,JobSat,,2.0,94.0,94,0.020390455531453362,4610,,,Very poor at handling complex tasks,
StackOverflow_2025,AIComplex,JobSat,,0.0,58.0,58,0.012581344902386117,4610,,,Very poor at handling complex tasks,
StackOverflow_2025,AIComplex,JobSat,,1.0,50.0,50,0.010845986984815618,4610,,,Very poor at handling complex tasks,
StackOverflow_2025,AIComplex,JobSat,,8.0,221.0,221,0.23814655172413793,928,,,Very well at handling complex tasks,
StackOverflow_2025,AIComplex,JobSat,,10.0,216.0,216,0.23275862068965517,928,,,Very well at handling complex tasks,
StackOverflow_2025,AIComplex,JobSat,,9.0,143.0,143,0.1540948275862069,928,,,Very well at handling complex tasks,
StackOverflow_2025,AIComplex,JobSat,,7.0,139.0,139,0.1497844827586207,928,,,Very well at handling complex tasks,
StackOverflow_2025,AIComplex,JobSat,,6.0,75.0,75,0.08081896551724138,928,,,Very well at handling complex tasks,
StackOverflow_2025,AIComplex,JobSat,,5.0,71.0,71,0.07650862068965517,928,,,Very well at handling complex tasks,
StackOverflow_2025,AIComplex,JobSat,,4.0,26.0,26,0.028017241379310345,928,,,Very well at handling complex tasks,
StackOverflow_2025,AIComplex,JobSat,,3.0,16.0,16,0.017241379310344827,928,,,Very well at handling complex tasks,
StackOverflow_2025,AIComplex,JobSat,,0.0,11.0,11,0.011853448275862068,928,,,Very well at handling complex tasks,
StackOverflow_2025,AIComplex,JobSat,,1.0,5.0,5,0.005387931034482759,928,,,Very well at handling complex tasks,
StackOverflow_2025,AIComplex,JobSat,,2.0,5.0,5,0.005387931034482759,928,,,Very well at handling complex tasks,
